PROMISE,STATUS AND COMMENTS,LINKS
,,
14 more integrated check-posts by 2024.,"Some ready, some stuck in land acquisition",https://indianexpress.com/article/india/mha-bengal-delay-land-acquisition-integrated-check-posts-9017553/
Smart Fencing of Borders,Has started in some places along Pak and Myanmar border,https://www.newindianexpress.com/nation/2023/feb/22/smart-fencing-for-indo-pak-border-in-gujarat-2549714.html
,,100-km smart fencing along Myanmar border in the pipeline to boost surveillance: Home Ministry - The Hindu
